event_id,user_id,event_type,description,category,direction,amount_original,amount_source,amount_currency,event_date,settlement_date,cash_effective_date,cash_effective_date_source,status,linked_event_id,flexibility,minimum_allowed_amount,related_image_id,related_message_ids,home_currency,amount_home_currency
event_01,user_01,expense,Apartment rent transfer,rent,debit,5148,csv,ZAR,2023-10-02,2023-10-02,2023-10-02,settlement,settled,,fixed,,,[],ZAR,5148
event_02,user_01,expense,Household utility payment,utilities,debit,1475.46,csv,ZAR,2023-10-06,2023-10-06,2023-10-06,settlement,settled,,fixed,,,[],ZAR,1475.46
event_03,user_01,expense,Professional training fee,education,debit,1821.6,csv,ZAR,2023-10-08,2023-10-08,2023-10-08,settlement,settled,,fixed,,,[],ZAR,1821.6
event_04,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,csv,ZAR,2023-10-11,2023-10-11,2023-10-11,settlement,settled,,fixed,,,[],ZAR,3487
event_05,user_01,subscription,Music service subscription,music_subscription,debit,235.4,csv,ZAR,2023-10-11,2023-10-11,2023-10-11,settlement,settled,,fixed,,,[],ZAR,235.4
event_06,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,csv,ZAR,2023-10-13,2023-10-13,2023-10-13,settlement,settled,,stoppable,,,[],ZAR,306.9
event_07,user_01,expense,Apartment rent transfer,rent,debit,5148,csv,ZAR,2023-11-02,2023-11-02,2023-11-02,settlement,settled,,fixed,,,[],ZAR,5148
event_08,user_01,expense,Household utility payment,utilities,debit,1483.81,csv,ZAR,2023-11-06,2023-11-06,2023-11-06,settlement,settled,,fixed,,,[],ZAR,1483.81
event_09,user_01,expense,Professional training fee,education,debit,1821.6,csv,ZAR,2023-11-08,2023-11-08,2023-11-08,settlement,settled,,fixed,,,[],ZAR,1821.6
event_10,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,csv,ZAR,2023-11-11,2023-11-11,2023-11-11,settlement,settled,,fixed,,,[],ZAR,3487
event_11,user_01,subscription,Music service subscription,music_subscription,debit,235.4,csv,ZAR,2023-11-11,2023-11-11,2023-11-11,settlement,settled,,fixed,,,[],ZAR,235.4
event_12,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,csv,ZAR,2023-11-13,2023-11-13,2023-11-13,settlement,settled,,stoppable,,,[],ZAR,306.9
event_13,user_01,expense,Apartment rent transfer,rent,debit,5148,csv,ZAR,2023-12-02,2023-12-02,2023-12-02,settlement,settled,,fixed,,,[],ZAR,5148
event_14,user_01,expense,Household utility payment,utilities,debit,1541.75,csv,ZAR,2023-12-06,2023-12-06,2023-12-06,settlement,settled,,fixed,,,[],ZAR,1541.75
event_15,user_01,expense,Professional training fee,education,debit,1821.6,csv,ZAR,2023-12-08,2023-12-08,2023-12-08,settlement,settled,,fixed,,,[],ZAR,1821.6
event_16,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,csv,ZAR,2023-12-11,2023-12-11,2023-12-11,settlement,settled,,fixed,,,[],ZAR,3487
