request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,325.68,not_affordable,not_recommended,none,2024-08-21,none,"Do not make this payment by 15 August 2024. The full EUR 1,302.40 is not safe until 21 August 2024, which is after the requested deadline."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2185864.95,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. The full IDR 18,164,000 is not safe until 16 November 2024, which is after the requested deadline."
request_32,16327.54,affordable_later,wait,2025-03-16:40018,2025-03-16,none,"Wait until 16 March 2025, then pay ZAR 40,018 in full. Paying sooner would put the ZAR 35,700 minimum at risk."
request_33,38619.16,not_affordable,not_recommended,none,2026-03-16,none,"Do not make this payment by 15 March 2026. The full INR 118,000 is not safe until 16 March 2026, which is after the requested deadline."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,14099.31,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 212,000 request. Although INR 14,099.31 is available today, the full amount cannot be completed safely within 90 days."
request_36,511.41,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. The full USD 3,954 is not safe until 16 September 2026, which is after the requested deadline."
request_37,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,120,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 971.30 request. Although EUR 120 is available today, the full amount cannot be completed safely within 90 days."
request_39,73396.18,affordable_later,wait,2026-05-16:208600,2026-05-16,none,"Wait until 16 May 2026, then pay INR 208,600 in full. Paying sooner would put the INR 213,400 minimum at risk."
request_40,402.43,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.30 request. Although EUR 402.43 is available today, the full amount cannot be completed safely within 90 days."
request_41,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 25,366,600 minimum protected."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8339950.18,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. The full IDR 43,339,000 is not safe until 16 November 2024, which is after the requested deadline."
request_44,33269.05,not_affordable,not_recommended,none,2025-04-16,none,"Do not make this payment by 15 April 2025. The full INR 95,800 is not safe until 16 April 2025, which is after the requested deadline."
request_45,4287724.63,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. The full IDR 21,983,000 is not safe until 16 September 2026, which is after the requested deadline."
request_46,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 9 January 2025. None of the available options keeps the INR 84,000 minimum protected."
request_47,5840571.71,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,114,000 request. Although IDR 5,840,571.71 is available today, the full amount cannot be completed safely within 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,14042897.34,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 34,333,000 request. Although IDR 14,042,897.34 is available today, the full amount cannot be completed safely within 90 days."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18163.32,affordable_later,wait,2024-06-16:28870,2024-06-16,none,"Wait until 16 June 2024, then pay INR 28,870 in full. Paying sooner would put the INR 41,500 minimum at risk."
request_53,407.99,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,699.20 request. Although USD 407.99 is available today, the full amount cannot be completed safely within 90 days."
request_54,4328.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 4,328.39 is available today, the full amount cannot be completed safely within 90 days."
request_55,111102.64,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-16,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,437.54,affordable_with_plan,partial_payment,2025-02-03:437.54|2025-02-16:444.02,2025-02-16,none,"Pay USD 437.54 today and the remaining USD 444.02 on 16 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,3205.52,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 61,446 request. Although ZAR 3,205.52 is available today, the full amount cannot be completed safely within 90 days."
